angle	  | quarter	  | number	  | comparison																																																																																																																																										
98		  | 2		  | 1		  | 1T 1F 																																																																																																																																											
99		  | 2		  | 1		  | 1F 1T 																																																																																																																																											
100		  | 2		  | 1		  | 1T 																																																																																																																																												
101		  | 2		  | 1		  | 1F 																																																																																																																																												
102		  | 2		  | 1		  | 1F 																																																																																																																																												
103		  | 2		  | 1		  | 1F 1T 																																																																																																																																											
104		  | 2		  | 1		  | 1T 																																																																																																																																												
105		  | 2		  | 1		  | 1F 																																																																																																																																												
106		  | 2		  | 1		  | 1F 																																																																																																																																												
107		  | 2		  | 1		  | 1T 																																																																																																																																												
108		  | 2		  | 1		  | 1F 																																																																																																																																												
109		  | 2		  | 1		  | 1F 																																																																																																																																												
110		  | 2		  | 1		  | 1T 																																																																																																																																												
111		  | 2		  | 1		  | 2F 																																																																																																																																												
112		  | 2		  | 1		  | 1F 																																																																																																																																												
113		  | 2		  | 1		  | 1F 																																																																																																																																												
114		  | 2		  | 1		  | 1T 																																																																																																																																												
115		  | 2		  | 1		  | 1T 1F 																																																																																																																																											
116		  | 2		  | 1		  | 1F 																																																																																																																																												
117		  | 2		  | 1		  | 1T 																																																																																																																																												
118		  | 2		  | 1		  | 1F 																																																																																																																																												
119		  | 2		  | 1		  | 1F 																																																																																																																																												
120		  | 2		  | 1		  | 1F 																																																																																																																																												
121		  | 2		  | 1		  | 1F 																																																																																																																																												
122		  | 2		  | 1		  | 1F 																																																																																																																																												
123		  | 2		  | 1		  | 1T 																																																																																																																																												
124		  | 2		  | 1		  | 1F 																																																																																																																																												
125		  | 2		  | 1		  | 1F 																																																																																																																																												
126		  | 2		  | 1		  | 1F 																																																																																																																																												
127		  | 2		  | 1		  | 1F 																																																																																																																																												
128		  | 2		  | 1		  | 1F 																																																																																																																																												
129		  | 2		  | 1		  | 1F 																																																																																																																																												
130		  | 2		  | 1		  | 1F 																																																																																																																																												
131		  | 2		  | 1		  | 1T 																																																																																																																																												
132		  | 2		  | 1		  | 1F 																																																																																																																																												
133		  | 2		  | 1		  | 2F 																																																																																																																																												
134		  | 2		  | 1		  | 1F 																																																																																																																																												
135		  | 2		  | 1		  | 1F 																																																																																																																																												
136		  | 2		  | 1		  | 1F 																																																																																																																																												
137		  | 2		  | 1		  | 1F 																																																																																																																																												
138		  | 2		  | 1		  | 1F 																																																																																																																																												
139		  | 2		  | 1		  | 1F 																																																																																																																																												
140		  | 2		  | 1		  | 1F 																																																																																																																																												
141		  | 2		  | 1		  | 1F 																																																																																																																																												
142		  | 2		  | 1		  | 1T 																																																																																																																																												
143		  | 2		  | 1		  | 1T 																																																																																																																																												
144		  | 2		  | 1		  | 1T 																																																																																																																																												
145		  | 2		  | 1		  | 1F 																																																																																																																																												
146		  | 2		  | 1		  | 2F 																																																																																																																																												
147		  | 2		  | 1		  | 1F 																																																																																																																																												
148		  | 2		  | 1		  | 1T 																																																																																																																																												
149		  | 2		  | 1		  | 1T 																																																																																																																																												
150		  | 2		  | 1		  | 1F 																																																																																																																																												
151		  | 2		  | 1		  | 1F 1T 																																																																																																																																											
152		  | 2		  | 1		  | 1T 1F 																																																																																																																																											
153		  | 2		  | 1		  | 1F 																																																																																																																																												
154		  | 2		  | 1		  | 1F 																																																																																																																																												
155		  | 2		  | 1		  | 1F 																																																																																																																																												
156		  | 2		  | 1		  | 1F 																																																																																																																																												
157		  | 2		  | 1		  | 1F 																																																																																																																																												
158		  | 2		  | 1		  | 1F 																																																																																																																																												
159		  | 2		  | 1		  | 1F 																																																																																																																																												
160		  | 2		  | 1		  | 2F 																																																																																																																																												
161		  | 2		  | 1		  | 1F 																																																																																																																																												
162		  | 2		  | 1		  | 1T 																																																																																																																																												
163		  | 2		  | 1		  | 2F 																																																																																																																																												
164		  | 2		  | 1		  | 1F 																																																																																																																																												
165		  | 2		  | 1		  | 1T 																																																																																																																																												
166		  | 2		  | 1		  | 1F 																																																																																																																																												
167		  | 2		  | 1		  | 1F 																																																																																																																																												
168		  | 2		  | 1		  | 1F 																																																																																																																																												
169		  | 2		  | 1		  | 1F 																																																																																																																																												
170		  | 2		  | 1		  | 1F 																																																																																																																																												
171		  | 2		  | 1		  | 1F 																																																																																																																																												
172		  | 2		  | 1		  | 1F 																																																																																																																																												
173		  | 2		  | 1		  | 1F 																																																																																																																																												
174		  | 2		  | 1		  | 1F 																																																																																																																																												
175		  | 2		  | 1		  | 1F 																																																																																																																																												
176		  | 2		  | 1		  | 1F 																																																																																																																																												
177		  | 2		  | 1		  | 1T 																																																																																																																																												
178		  | 2		  | 1		  | 1F 																																																																																																																																												
179		  | 2		  | 1		  | 1F 																																																																																																																																												
180		  | 3		  | 2		  | 3F 1T 11F 1T 2F 1T 																																																																																																																																								
